parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,mlog10p
1, zpla2g7 ,1061,AD_PGS,,0.11,0.00475627,39231,24.023565,1.00E-126,0.1,0.12,0.05,0.00003418,1,1.90E-123,1,122.7212464
1, zbrk1 ,131,AD_PGS,,0.07,0.00499211,38310,14.847513,9.90E-50,0.06,0.08,0.05,0.00003418,1,7.26E-47,1,46.13882416
1, zgfap ,586,AD_PGS,,0.07,0.00474085,38236,14.476048,2.30E-47,0.06,0.08,0.05,0.00003418,1,1.12E-44,1,43.9515582
1, ztrem2 ,1401,AD_PGS,,-0.06,0.0048166,39204,-11.850795,2.40E-32,-0.07,-0.05,0.05,0.00003418,1,8.85E-30,1,29.05286048
1, zfgfbp1 ,539,AD_PGS,,0.06,0.0047996,39336,11.493449,1.60E-30,0.05,0.06,0.05,0.00003418,1,4.66E-28,1,27.33170729
1, zcreg1 ,352,AD_PGS,,-0.06,0.00498147,38724,-11.333098,1.00E-29,-0.07,-0.05,0.05,0.00003418,1,2.44E-27,1,26.6118988
1, zpdgfc ,1036,AD_PGS,,-0.05,0.00502595,38298,-10.296928,7.80E-25,-0.06,-0.04,0.05,0.00003418,1,1.64E-22,1,21.7856861
1, zrp2 ,1173,AD_PGS,,0.05,0.00497767,39040,9.9977008,1.70E-23,0.04,0.06,0.05,0.00003418,1,3.04E-21,1,20.51655535
1, zil32 ,734,AD_PGS,,0.05,0.00486622,39136,9.7381513,2.20E-22,0.04,0.06,0.05,0.00003418,1,3.57E-20,1,19.44696698
1, zsmpd1 ,1264,AD_PGS,,-0.05,0.00487752,39358,-9.5250091,1.70E-21,-0.06,-0.04,0.05,0.00003418,1,2.55E-19,1,18.59397106
1, zpvr ,1135,AD_PGS,,0.04,0.00495021,39548,8.9712939,3.10E-19,0.03,0.05,0.05,0.00003418,1,4.06E-17,1,16.3910463
1, znaaa ,941,AD_PGS,,-0.04,0.00500848,38718,-8.4416313,3.20E-17,-0.05,-0.03,0.05,0.00003418,1,3.95E-15,1,14.40384292
1, zctsz ,386,AD_PGS,,-0.04,0.00489752,39259,-8.2150956,2.20E-16,-0.05,-0.03,0.05,0.00003418,1,2.46E-14,1,13.60941812
1, zcd99l2 ,248,AD_PGS,,-0.04,0.00490668,39231,-8.1838126,2.80E-16,-0.05,-0.03,0.05,0.00003418,1,2.96E-14,1,13.52870829
1, zglb1 ,601,AD_PGS,,-0.04,0.00488165,38914,-8.1593615,3.50E-16,-0.05,-0.03,0.05,0.00003418,1,3.38E-14,1,13.470698
1, zces1 ,279,AD_PGS,,-0.04,0.00493391,39332,-8.1426551,4.00E-16,-0.05,-0.03,0.05,0.00003418,1,3.64E-14,1,13.43901794
1, zcdhr2 ,260,AD_PGS,,-0.04,0.00440289,39040,-8.0596503,7.90E-16,-0.04,-0.03,0.05,0.00003418,1,6.77E-14,1,13.16941133
1, zpla2g10 ,1056,AD_PGS,,-0.04,0.00488099,38914,-7.3848452,1.60E-13,-0.05,-0.03,0.05,0.00003418,1,1.27E-11,1,10.89790947
1, zhmox2 ,652,AD_PGS,,0.04,0.00503856,38310,7.1345122,9.90E-13,0.03,0.05,0.05,0.00003418,1,7.61E-11,1,10.11850122
1, zsmpdl3a ,1265,AD_PGS,,-0.03,0.00495702,39325,-7.0219232,2.20E-12,-0.04,-0.03,0.05,0.00003418,1,1.63E-10,1,9.788612447
1, zacy1 ,13,AD_PGS,,-0.03,0.00480407,39218,-6.9653959,3.30E-12,-0.04,-0.02,0.05,0.00003418,1,2.32E-10,1,9.635073966
1, zgusb ,629,AD_PGS,,-0.03,0.00476184,39401,-6.8470687,7.60E-12,-0.04,-0.02,0.05,0.00003418,1,5.09E-10,1,9.293623644
1, zclec4a ,304,AD_PGS,,0.03,0.0049104,39136,6.7577112,1.40E-11,0.02,0.04,0.05,0.00003418,1,9.04E-10,1,9.043735497
1, zangptl3 ,64,AD_PGS,,-0.03,0.0045402,39247,-6.6884302,2.30E-11,-0.04,-0.02,0.05,0.00003418,1,1.36E-09,1,8.866461092
1, zvwa1 ,1442,AD_PGS,,-0.03,0.00495996,39474,-6.685991,2.30E-11,-0.04,-0.02,0.05,0.00003418,1,1.36E-09,1,8.866461092
1, zctsf ,380,AD_PGS,,-0.03,0.00489449,39336,-6.675737,2.50E-11,-0.04,-0.02,0.05,0.00003418,1,1.38E-09,1,8.861381566
1, zhsd11b1 ,659,AD_PGS,,0.03,0.0049729,39136,6.6730482,2.50E-11,0.02,0.04,0.05,0.00003418,1,1.38E-09,1,8.861381566
1, zapom ,80,AD_PGS,,0.03,0.00485572,39315,6.5606393,5.40E-11,0.02,0.04,0.05,0.00003418,1,2.83E-09,1,8.547600154
1, znefl ,958,AD_PGS,,0.03,0.00466288,38191,6.4870354,8.90E-11,0.02,0.04,0.05,0.00003418,1,4.47E-09,1,8.349692477
1, ztpp1 ,1396,AD_PGS,,-0.03,0.0049486,38946,-6.481676,9.20E-11,-0.04,-0.02,0.05,0.00003418,1,4.48E-09,1,8.349109922
1, zprcp ,1092,AD_PGS,,-0.03,0.00490536,39459,-6.1328934,8.70E-10,-0.04,-0.02,0.05,0.00003418,1,4.11E-08,1,7.386052523
1, zc19orf12 ,138,AD_PGS,,-0.03,0.00500423,38310,-6.1048807,1.00E-09,-0.04,-0.02,0.05,0.00003418,1,4.75E-08,1,7.32339783
1, zncan ,948,AD_PGS,,0.03,0.00463809,39548,6.0880002,1.20E-09,0.02,0.04,0.05,0.00003418,1,5.12E-08,1,7.291154362
1, zkrt18 ,801,AD_PGS,,-0.03,0.00483722,39040,-6.0252762,1.70E-09,-0.04,-0.02,0.05,0.00003418,1,7.33E-08,1,7.134955278
1, zhla_dra ,648,AD_PGS,,-0.03,0.00498043,39013,-5.9765639,2.30E-09,-0.04,-0.02,0.05,0.00003418,1,9.61E-08,1,7.017367006
1, ztfpi ,1336,AD_PGS,,0.03,0.00497886,39130,5.9629652,2.50E-09,0.02,0.04,0.05,0.00003418,1,1.02E-07,1,6.993533958
1, zigsf3 ,692,AD_PGS,,-0.03,0.00495571,39040,-5.8870125,4.00E-09,-0.04,-0.02,0.05,0.00003418,1,1.57E-07,1,6.804653942
1, zpla2g15 ,1057,AD_PGS,,-0.03,0.00494123,39336,-5.7184958,1.10E-08,-0.04,-0.02,0.05,0.00003418,1,4.17E-07,1,6.38007229
1, zkitlg ,787,AD_PGS,,0.03,0.00495165,39218,5.7029939,1.20E-08,0.02,0.04,0.05,0.00003418,1,4.45E-07,1,6.351835221
1, zarsa ,90,AD_PGS,,-0.03,0.00488894,39231,-5.6741193,1.40E-08,-0.04,-0.02,0.05,0.00003418,1,5.14E-07,1,6.289459552
1, zfurin ,566,AD_PGS,,-0.03,0.00493995,39336,-5.6496419,1.60E-08,-0.04,-0.02,0.05,0.00003418,1,5.78E-07,1,6.238297632
1, zcpm ,345,AD_PGS,,-0.03,0.00483413,39346,-5.5986491,2.20E-08,-0.04,-0.02,0.05,0.00003418,1,7.58E-07,1,6.120617363
1, zctso ,383,AD_PGS,,-0.03,0.00492154,39637,-5.5335828,3.20E-08,-0.04,-0.02,0.05,0.00003418,1,1.07E-06,1,5.968995719
1, ztnfsf10 ,1384,AD_PGS,,-0.03,0.004944,39637,-5.3821079,7.40E-08,-0.04,-0.02,0.05,0.00003418,1,2.46E-06,1,5.608711951
1, zenpp7 ,479,AD_PGS,,-0.03,0.00506385,37975,-5.3534058,8.70E-08,-0.04,-0.02,0.05,0.00003418,1,2.82E-06,1,5.549442991
1, zldlr ,821,AD_PGS,,-0.03,0.00495656,39319,-5.2513166,1.50E-07,-0.04,-0.02,0.05,0.00003418,1,4.83E-06,1,5.316232739
1, zcalca ,157,AD_PGS,,-0.02,0.00416181,38855,-5.1841991,2.20E-07,-0.03,-0.01,0.05,0.00003418,1,6.79E-06,1,5.168322151
1, zhnmt ,653,AD_PGS,,-0.03,0.00494179,38733,-5.1538151,2.60E-07,-0.04,-0.02,0.05,0.00003418,1,7.69E-06,1,5.113960724
1, zncs1 ,953,AD_PGS,,0.02,0.0047412,39534,5.1529563,2.60E-07,0.02,0.03,0.05,0.00003418,1,7.69E-06,1,5.113960724
1, zmzb1 ,939,AD_PGS,,-0.03,0.00487307,39322,-5.147692,2.60E-07,-0.03,-0.02,0.05,0.00003418,1,7.75E-06,1,5.110530216
1, zccl3 ,190,AD_PGS,,-0.03,0.00489378,39136,-5.1193198,3.10E-07,-0.03,-0.02,0.05,0.00003418,1,8.84E-06,1,5.053646003
1, zgsta3 ,626,AD_PGS,,-0.03,0.00501928,38298,-5.0802981,3.80E-07,-0.04,-0.02,0.05,0.00003418,1,0.00001065,1,4.972650392
1, zagr3 ,35,AD_PGS,,0.02,0.00501867,38232,4.9519561,7.40E-07,0.02,0.03,0.05,0.00003418,1,0.00002037,1,4.691008971
1, zcdcp1 ,251,AD_PGS,,-0.02,0.00471364,38914,-4.9471196,7.60E-07,-0.03,-0.01,0.05,0.00003418,1,0.00002049,1,4.688458042
1, zntrk3 ,995,AD_PGS,,0.02,0.00492876,39548,4.9321304,8.20E-07,0.01,0.03,0.05,0.00003418,1,0.00002172,1,4.663140179
1, zfcrl5 ,528,AD_PGS,,-0.02,0.00472315,39231,-4.9072846,9.30E-07,-0.03,-0.01,0.05,0.00003418,1,0.00002422,1,4.615825861
1, zdpp7 ,443,AD_PGS,,-0.02,0.00497477,38910,-4.9011921,9.60E-07,-0.03,-0.01,0.05,0.00003418,1,0.00002455,1,4.609948504
1, zagrp ,37,AD_PGS,,0.02,0.00487813,39637,4.8835215,1.00E-06,0.01,0.03,0.05,0.00003418,1,0.00002639,1,4.57856061
1, zlilra5 ,837,AD_PGS,,-0.02,0.00493947,39156,-4.8599256,1.20E-06,-0.03,-0.01,0.05,0.00003418,1,0.00002923,1,4.534171185
1, zcd34 ,226,AD_PGS,,0.02,0.00494548,39444,4.7655082,1.90E-06,0.01,0.03,0.05,0.00003418,1,0.0000461,1,4.336299075
1, zgsta1 ,625,AD_PGS,,-0.02,0.00494959,39155,-4.7613407,1.90E-06,-0.03,-0.01,0.05,0.00003418,1,0.00004629,1,4.334512819
1, zcd74 ,241,AD_PGS,,-0.02,0.00482966,39548,-4.6687193,3.00E-06,-0.03,-0.01,0.05,0.00003418,1,0.00007175,1,4.144178095
1, zthbs2 ,1346,AD_PGS,,-0.02,0.00496649,39231,-4.6555141,3.20E-06,-0.03,-0.01,0.05,0.00003418,1,0.00007529,1,4.123262703
1, zifngr2 ,680,AD_PGS,,-0.02,0.004969,38914,-4.6311191,3.60E-06,-0.03,-0.01,0.05,0.00003418,1,0.00008341,1,4.078781879
1, zil18r1 ,716,AD_PGS,,-0.02,0.00492982,39637,-4.6101284,4.00E-06,-0.03,-0.01,0.05,0.00003418,1,0.00009086,1,4.041627268
1, zhao1 ,635,AD_PGS,,-0.02,0.00486455,39534,-4.5917813,4.40E-06,-0.03,-0.01,0.05,0.00003418,1,0.00009747,1,4.011129034
1, zadh4 ,30,AD_PGS,,-0.02,0.00489639,38485,-4.5891819,4.50E-06,-0.03,-0.01,0.05,0.00003418,1,0.00009747,1,4.011129034
1, zdctn2 ,411,AD_PGS,,0.02,0.00498734,39040,4.5480024,5.40E-06,0.01,0.03,0.05,0.00003418,1,0.00011687,1,3.932296956
1, zlep ,823,AD_PGS,,-0.02,0.00422622,39218,-4.4725605,7.80E-06,-0.03,-0.01,0.05,0.00003418,1,0.00016433,1,3.784283145
1, ztnc ,1364,AD_PGS,,0.02,0.0049328,39384,4.4562003,8.40E-06,0.01,0.03,0.05,0.00003418,1,0.00017484,1,3.757359202
1, zkynu ,805,AD_PGS,,-0.02,0.00491686,39637,-4.4371175,9.10E-06,-0.03,-0.01,0.05,0.00003418,1,0.00018837,1,3.724988262
1, zpilrb ,1054,AD_PGS,,0.02,0.0049238,39218,4.4113112,1.00E-05,0.01,0.03,0.05,0.00003418,1,0.00020933,1,3.679168527
1, zcd300e ,221,AD_PGS,,-0.02,0.0048468,39403,-4.3600622,1.30E-05,-0.03,-0.01,0.05,0.00003418,1,0.00026026,1,3.584592575
1, zcxcl10 ,390,AD_PGS,,-0.02,0.00488563,39385,-4.357908,1.30E-05,-0.03,-0.01,0.05,0.00003418,1,0.00026026,1,3.584592575
1, znomo1 ,971,AD_PGS,,-0.02,0.00495708,39231,-4.3481773,1.40E-05,-0.03,-0.01,0.05,0.00003418,1,0.00026845,1,3.571136592
1, zltbp3 ,856,AD_PGS,,-0.02,0.00496985,38298,-4.3403029,1.40E-05,-0.03,-0.01,0.05,0.00003418,1,0.0002746,1,3.561299467
1, zil1rn ,726,AD_PGS,,-0.02,0.00496646,39136,-4.3292866,1.50E-05,-0.03,-0.01,0.05,0.00003418,1,0.00028493,1,3.545261822
1, zfcrl3 ,527,AD_PGS,,-0.02,0.00500707,38489,-4.3175014,1.60E-05,-0.03,-0.01,0.05,0.00003418,1,0.00029673,1,3.527638543
1, zinhbc ,750,AD_PGS,,-0.02,0.00493056,39231,-4.2443411,2.20E-05,-0.03,-0.01,0.05,0.00003418,1,0.00040694,1,3.390469619
1, zsult2a1 ,1312,AD_PGS,,-0.02,0.00494771,39136,-4.2339264,2.30E-05,-0.03,-0.01,0.05,0.00003418,1,0.00042092,1,3.375800438
1, zaldh3a1 ,50,AD_PGS,,-0.02,0.00488097,39068,-4.2124534,2.50E-05,-0.03,-0.01,0.05,0.00003418,1,0.00045728,1,3.339817793
1, zdcbld2 ,408,AD_PGS,,0.02,0.00482564,39336,4.177652,3.00E-05,0.01,0.03,0.05,0.00003418,1,0.00052115,1,3.283037258
1, zitga5 ,761,AD_PGS,,-0.02,0.00494189,39231,-4.1772724,3.00E-05,-0.03,-0.01,0.05,0.00003418,1,0.00052115,1,3.283037258
1, zism1 ,759,AD_PGS,,-0.02,0.00490187,39136,-4.1658233,3.10E-05,-0.03,-0.01,0.05,0.00003418,1,0.00054148,1,3.26641758
1, zsiglec1 ,1234,AD_PGS,,-0.02,0.0049143,39385,-4.1588468,3.20E-05,-0.03,-0.01,0.05,0.00003418,1,0.0005517,1,3.258297016
1, zclec11a ,300,AD_PGS,,-0.02,0.00496658,39172,-4.1460966,3.40E-05,-0.03,-0.01,0.05,0.00003418,1,0.00057653,1,3.239178089
1, zdpep1 ,438,AD_PGS,,0.02,0.00491666,38855,4.1350516,3.60E-05,0.01,0.03,0.05,0.00003418,0,0.00059487,0,3.225577933
1, zfgf21 ,536,AD_PGS,,-0.02,0.00494102,39474,-4.1336286,3.60E-05,-0.03,-0.01,0.05,0.00003418,0,0.00059487,0,3.225577933
1, zc2 ,141,AD_PGS,,-0.02,0.00493745,39315,-4.1217637,3.80E-05,-0.03,-0.01,0.05,0.00003418,0,0.00061931,0,3.208091907
1, zasgr1 ,95,AD_PGS,,-0.02,0.00491983,38914,-4.1017613,4.10E-05,-0.03,-0.01,0.05,0.00003418,0,0.00066786,0,3.175314567
1, zagxt ,38,AD_PGS,,-0.02,0.00494811,39218,-4.0835355,4.40E-05,-0.03,-0.01,0.05,0.00003418,0,0.00071452,0,3.14598561
1, zctsd ,379,AD_PGS,,-0.02,0.00507492,36665,-4.0742037,4.60E-05,-0.03,-0.01,0.05,0.00003418,0,0.00073578,0,3.133252021
1, zoxt ,1013,AD_PGS,,-0.02,0.00483246,39548,-4.064286,4.80E-05,-0.03,-0.01,0.05,0.00003418,0,0.00075939,0,3.119535126
1, zpon2 ,1080,AD_PGS,,-0.02,0.00502623,38485,-4.0467999,5.20E-05,-0.03,-0.01,0.05,0.00003418,0,0.00080969,0,3.091681224
1, zlgals9 ,830,AD_PGS,,-0.02,0.00485794,39206,-4.0167041,5.90E-05,-0.03,-0.01,0.05,0.00003418,0,0.00091057,0,3.040686662
1, ztnfrsf11a ,1370,AD_PGS,,-0.02,0.00486949,39637,-4.0034999,6.30E-05,-0.03,-0.01,0.05,0.00003418,0,0.00095287,0,3.020966346
1, zlypd3 ,867,AD_PGS,,0.02,0.00497554,39023,3.9906425,6.60E-05,0.01,0.03,0.05,0.00003418,0,0.00099567,0,3.001884578
1, ztimp1 ,1355,AD_PGS,,-0.02,0.00492492,38803,-3.9867536,6.70E-05,-0.03,-0.01,0.05,0.00003418,0,0.0010018,0,2.999218973
1, zspon2 ,1286,AD_PGS,,-0.02,0.00492637,39037,-3.9793123,6.90E-05,-0.03,-0.01,0.05,0.00003418,0,0.00102321,0,2.990035224
