#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	Extracellular region	34	4175	0.56	6.89e-12	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000284818,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000359013,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000370989,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000455215,9606.ENSP00000477908,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,FABP4,IL1RN,IGFBP4,LY96,STC1,CXCL16,TNFSF12,MERTK,GHRL,SMPD1,SIGLEC1,TNFSF13,FCAR,PIGR,TNFRSF6B,TREM2,TNFRSF1B,CD274,KRT18,LGALS9,ITGB2,PLA2G10,TNF,PVR,IL5RA,IL18BP,ADM,ADGRG1,CCL3,FURIN,FAS
GO:0005615	Extracellular space	30	3247	0.62	3.71e-11	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000256104,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000284818,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000348888,9606.ENSP00000359013,9606.ENSP00000370989,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000455215,9606.ENSP00000477908,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,FABP4,IL1RN,IGFBP4,LY96,STC1,CXCL16,TNFSF12,MERTK,GHRL,SMPD1,TNFSF13,PIGR,TNFRSF6B,CD274,KRT18,LGALS9,ITGB2,PLA2G10,TNF,PVR,IL5RA,IL18BP,ADM,ADGRG1,CCL3,FURIN,FAS
GO:0009986	Cell surface	15	894	0.88	3.54e-07	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000276431,9606.ENSP00000312002,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000465500,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,PDGFRA,TNFRSF10B,HAVCR2,CD83,CD274,CLEC6A,ITGB2,TNF,PVR,IL5RA,TNFRSF11A,FURIN,FAS
GO:0043235	Receptor complex	11	418	1.07	8.66e-07	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000295408,9606.ENSP00000348888,9606.ENSP00000365435,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000412209	CD74,TNFRSF1A,PDGFRA,LY96,IL10RB,MERTK,PIGR,TNFRSF1B,ITGB2,IL18R1,IL5RA
GO:0071944	Cell periphery	33	6015	0.39	8.66e-07	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,PDGFRA,IL1RN,TNFRSF10B,LY96,IL10RB,STC1,CXCL16,TNFSF12,MERTK,HAVCR2,SMPD1,SIGLEC1,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,KRT18,LGALS9,ITGB2,IL18R1,TNF,PVR,IL5RA,ADGRG1,TNFRSF11A,FURIN,FAS
GO:0009897	External side of plasma membrane	10	388	1.06	4.55e-06	9606.ENSP00000009530,9606.ENSP00000257290,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000465500,9606.ENSP00000498466	CD74,PDGFRA,CD83,CD274,CLEC6A,ITGB2,TNF,IL5RA,TNFRSF11A,FAS
GO:0005886	Plasma membrane	30	5544	0.38	1.26e-05	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,PDGFRA,IL1RN,TNFRSF10B,LY96,IL10RB,STC1,CXCL16,TNFSF12,MERTK,HAVCR2,SMPD1,SIGLEC1,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,ITGB2,IL18R1,TNF,PVR,IL5RA,ADGRG1,TNFRSF11A,FURIN,FAS
GO:0098552	Side of membrane	11	611	0.91	2.12e-05	9606.ENSP00000009530,9606.ENSP00000253408,9606.ENSP00000257290,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000465500,9606.ENSP00000498466	CD74,GFAP,PDGFRA,CD83,CD274,CLEC6A,ITGB2,TNF,IL5RA,TNFRSF11A,FAS
GO:0016021	Integral component of membrane	29	5670	0.36	8.57e-05	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,PDGFRA,TNFRSF10B,LY96,IL10RB,CXCL16,TNFSF12,MERTK,HAVCR2,SMPD1,SIGLEC1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,ITGB2,IL18R1,TNF,PVR,IL5RA,ADGRG1,TNFRSF11A,FURIN,FAS
GO:0045121	Membrane raft	8	320	1.05	0.00011	9606.ENSP00000162749,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000380948,9606.ENSP00000398698,9606.ENSP00000455215,9606.ENSP00000483552,9606.ENSP00000498466	TNFRSF1A,TREM2,TNFRSF1B,ITGB2,TNF,ADGRG1,FURIN,FAS
