#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0038023	Signaling receptor activity	20	1489	0.78	5.99e-08	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000295408,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000359013,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000371505,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000498466	CD74,TNFRSF1A,PDGFRA,TNFRSF10B,LY96,IL10RB,MERTK,FCAR,PIGR,TNFRSF6B,TREM2,TNFRSF1B,CLEC6A,ITGB2,IL18R1,PVR,IL5RA,ADGRG1,TNFRSF11A,FAS
GO:0005035	Death receptor activity	5	13	2.24	5.99e-07	9606.ENSP00000162749,9606.ENSP00000276431,9606.ENSP00000365435,9606.ENSP00000465500,9606.ENSP00000498466	TNFRSF1A,TNFRSF10B,TNFRSF1B,TNFRSF11A,FAS
GO:0005102	Signaling receptor binding	18	1499	0.73	1.45e-06	9606.ENSP00000009530,9606.ENSP00000218388,9606.ENSP00000253408,9606.ENSP00000256104,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000284818,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000335074,9606.ENSP00000343505,9606.ENSP00000380948,9606.ENSP00000398698,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000477908	CD74,TIMP1,GFAP,FABP4,PDGFRA,IL1RN,IGFBP4,LY96,STC1,CXCL16,TNFSF12,GHRL,TNFSF13,ITGB2,TNF,IL18BP,ADM,CCL3
GO:0019955	Cytokine binding	8	141	1.4	1.45e-06	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000259206,9606.ENSP00000365435,9606.ENSP00000387211,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000465500	CD74,TNFRSF1A,IL1RN,TNFRSF1B,IL18R1,IL5RA,IL18BP,TNFRSF11A
GO:0004888	Transmembrane signaling receptor activity	16	1268	0.75	5.63e-06	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000257290,9606.ENSP00000276431,9606.ENSP00000290200,9606.ENSP00000295408,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000412209,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000498466	CD74,TNFRSF1A,PDGFRA,TNFRSF10B,IL10RB,MERTK,FCAR,PIGR,TREM2,TNFRSF1B,ITGB2,IL18R1,IL5RA,ADGRG1,TNFRSF11A,FAS
GO:0005031	Tumor necrosis factor receptor activity	4	10	2.25	1.49e-05	9606.ENSP00000162749,9606.ENSP00000365435,9606.ENSP00000465500,9606.ENSP00000498466	TNFRSF1A,TNFRSF1B,TNFRSF11A,FAS
GO:0030545	Signaling receptor regulator activity	11	552	0.95	1.85e-05	9606.ENSP00000218388,9606.ENSP00000259206,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000335074,9606.ENSP00000343505,9606.ENSP00000398698,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000477908	TIMP1,IL1RN,STC1,CXCL16,TNFSF12,GHRL,TNFSF13,TNF,IL18BP,ADM,CCL3
GO:0048018	Receptor ligand activity	10	499	0.95	7.35e-05	9606.ENSP00000218388,9606.ENSP00000259206,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000335074,9606.ENSP00000343505,9606.ENSP00000398698,9606.ENSP00000436607,9606.ENSP00000477908	TIMP1,IL1RN,STC1,CXCL16,TNFSF12,GHRL,TNFSF13,TNF,ADM,CCL3
GO:0005125	Cytokine activity	7	234	1.13	0.00040	9606.ENSP00000218388,9606.ENSP00000259206,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000343505,9606.ENSP00000398698,9606.ENSP00000477908	TIMP1,IL1RN,CXCL16,TNFSF12,TNFSF13,TNF,CCL3
GO:0140375	Immune receptor activity	6	142	1.28	0.00040	9606.ENSP00000009530,9606.ENSP00000290200,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000387211,9606.ENSP00000412209	CD74,IL10RB,FCAR,PIGR,IL18R1,IL5RA
GO:0005515	Protein binding	32	7242	0.3	0.00053	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000253408,9606.ENSP00000256104,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000335074,9606.ENSP00000343505,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000371505,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000482169,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,GFAP,FABP4,PDGFRA,IL1RN,IGFBP4,TNFRSF10B,LY96,STC1,CXCL16,TNFSF12,GHRL,TNFSF13,TREM2,TNFRSF1B,CLEC6A,KRT18,LGALS9,ITGB2,IL18R1,TNF,PVR,IL5RA,IL18BP,ADM,TNFRSF11A,CCL3,NEFL,FURIN,FAS
GO:0042007	interleukin-18 binding	2	2	2.65	0.0102	9606.ENSP00000387211,9606.ENSP00000434717	IL18R1,IL18BP
GO:0005126	Cytokine receptor binding	6	270	1.0	0.0105	9606.ENSP00000259206,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000343505,9606.ENSP00000398698,9606.ENSP00000477908	IL1RN,CXCL16,TNFSF12,TNFSF13,TNF,CCL3
GO:0005164	Tumor necrosis factor receptor binding	3	32	1.62	0.0198	9606.ENSP00000293825,9606.ENSP00000343505,9606.ENSP00000398698	TNFSF12,TNFSF13,TNF
GO:0004896	Cytokine receptor activity	4	96	1.27	0.0209	9606.ENSP00000009530,9606.ENSP00000290200,9606.ENSP00000387211,9606.ENSP00000412209	CD74,IL10RB,IL18R1,IL5RA
GO:0043120	Tumor necrosis factor binding	2	5	2.25	0.0277	9606.ENSP00000162749,9606.ENSP00000365435	TNFRSF1A,TNFRSF1B
