#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0010033	Response to organic substance	32	2692	0.73	1.53e-14	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000256104,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000312002,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000347714,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000482169,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,FABP4,PDGFRA,IL1RN,LY96,IL10RB,STC1,CXCL16,HAVCR2,GHRL,SMPD1,FCAR,TREM2,TNFRSF1B,CD83,CD274,KRT18,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,IL18BP,ADM,TNFRSF11A,CCL3,NEFL,FURIN,FAS
GO:0006955	Immune response	25	1321	0.93	1.75e-14	9606.ENSP00000009530,9606.ENSP00000259206,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000378856,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000498466	CD74,IL1RN,LY96,IL10RB,CXCL16,TNFSF12,HAVCR2,SMPD1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,LGALS9,IL18R1,TNF,IL5RA,IL18BP,ADM,TNFRSF11A,CCL3,FAS
GO:0002376	Immune system process	29	2121	0.79	2.32e-14	9606.ENSP00000009530,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000498466	CD74,PDGFRA,IL1RN,LY96,IL10RB,CXCL16,TNFSF12,MERTK,HAVCR2,SMPD1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,IL18BP,ADM,TNFRSF11A,CCL3,FAS
GO:0006952	Defense response	25	1394	0.9	2.73e-14	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000293778,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000371505,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000436607,9606.ENSP00000477908	CD74,TNFRSF1A,TIMP1,IL1RN,IGFBP4,TNFRSF10B,LY96,IL10RB,CXCL16,HAVCR2,SMPD1,SIGLEC1,FCAR,TREM2,TNFRSF1B,CD83,CLEC6A,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,ADM,CCL3
GO:0034097	Response to cytokine	21	804	1.07	2.73e-14	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000256104,9606.ENSP00000290200,9606.ENSP00000293778,9606.ENSP00000340409,9606.ENSP00000347714,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000370989,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,FABP4,IL10RB,CXCL16,SMPD1,FCAR,TREM2,TNFRSF1B,CD274,KRT18,LGALS9,IL18R1,PLA2G10,TNF,IL5RA,IL18BP,TNFRSF11A,CCL3,FAS
GO:0051716	Cellular response to stimulus	41	6357	0.46	8.80e-14	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000253408,9606.ENSP00000256104,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000482169,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,GFAP,FABP4,PDGFRA,IL1RN,IGFBP4,TNFRSF10B,LY96,IL10RB,STC1,CXCL16,TNFSF12,MERTK,HAVCR2,GHRL,SMPD1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,KRT18,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,IL18BP,ADM,ADGRG1,TNFRSF11A,CCL3,NEFL,FURIN,FAS
GO:0006954	Inflammatory response	18	538	1.18	1.11e-13	9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000312002,9606.ENSP00000341141,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000436607,9606.ENSP00000477908	TNFRSF1A,TIMP1,IL1RN,IGFBP4,LY96,IL10RB,HAVCR2,SIGLEC1,TREM2,TNFRSF1B,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,ADM,CCL3
GO:0048583	Regulation of response to stimulus	34	3931	0.59	9.99e-13	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000256104,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000293825,9606.ENSP00000312002,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000402060,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,FABP4,PDGFRA,IL1RN,IGFBP4,TNFRSF10B,LY96,IL10RB,TNFSF12,HAVCR2,GHRL,SMPD1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD274,CLEC6A,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,PVR,IL18BP,ADM,ADGRG1,TNFRSF11A,CCL3,FURIN,FAS
GO:0006950	Response to stress	32	3358	0.63	1.22e-12	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000253408,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000340409,9606.ENSP00000341141,9606.ENSP00000347714,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000371505,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000393847,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000434717,9606.ENSP00000436607,9606.ENSP00000477908,9606.ENSP00000482169,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,GFAP,PDGFRA,IL1RN,IGFBP4,TNFRSF10B,LY96,IL10RB,STC1,CXCL16,MERTK,HAVCR2,SMPD1,SIGLEC1,FCAR,TREM2,TNFRSF1B,CD83,CLEC6A,LGALS9,ITGB2,IL18R1,PLA2G10,TNF,IL5RA,IL18BP,ADM,CCL3,NEFL,FAS
GO:0007165	Signal transduction	36	4714	0.53	1.61e-12	9606.ENSP00000009530,9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000257290,9606.ENSP00000259206,9606.ENSP00000269593,9606.ENSP00000276431,9606.ENSP00000284818,9606.ENSP00000290200,9606.ENSP00000290271,9606.ENSP00000293778,9606.ENSP00000293825,9606.ENSP00000295408,9606.ENSP00000312002,9606.ENSP00000335074,9606.ENSP00000340409,9606.ENSP00000343505,9606.ENSP00000347714,9606.ENSP00000348888,9606.ENSP00000362205,9606.ENSP00000365435,9606.ENSP00000368450,9606.ENSP00000370989,9606.ENSP00000371505,9606.ENSP00000373489,9606.ENSP00000378856,9606.ENSP00000380948,9606.ENSP00000387211,9606.ENSP00000398698,9606.ENSP00000412209,9606.ENSP00000436607,9606.ENSP00000455215,9606.ENSP00000465500,9606.ENSP00000477908,9606.ENSP00000483552,9606.ENSP00000498466	CD74,TNFRSF1A,TIMP1,PDGFRA,IL1RN,IGFBP4,TNFRSF10B,LY96,IL10RB,STC1,CXCL16,TNFSF12,MERTK,HAVCR2,GHRL,SMPD1,TNFSF13,FCAR,PIGR,TREM2,TNFRSF1B,CD83,CD274,CLEC6A,KRT18,LGALS9,ITGB2,IL18R1,TNF,IL5RA,ADM,ADGRG1,TNFRSF11A,CCL3,FURIN,FAS
